Log ID,Date UTC,User Full Name,Username,System/Application,Role Used,MFA Verified (Y/N),Source IP/Device ID,Session Start UTC,Session End UTC,Purpose,Action Summary,Ticket/Approval Ref,Reviewer
1,,,,,,,,,,,,,
2,,,,,,,,,,,,,
3,,,,,,,,,,,,,
4,,,,,,,,,,,,,
5,,,,,,,,,,,,,
